1, 2630144
2, 1647387
3, 957093
4, 988819
5, 760497
6, 712773
7, 647814
8, 596479
9, 615831
10, 639447
11, 607367
12, 611091
13, 589807
14, 607183
15, 598513
16, 648084
17, 601312
18, 618941
19, 606901
20, 599389
21, 608952
22, 595215
23, 611174
24, 604664
25, 610969
26, 614067
27, 604219
28, 611641
29, 632034
30, 618767
31, 644656
32, 619154
33, 641931
34, 641815
35, 633785
36, 631734
37, 640489
38, 621235
39, 641599
40, 660937
41, 657030
42, 649800
43, 680325
44, 670029
45, 668558
46, 665270
47, 689229
48, 642349
49, 668074
50, 654586
51, 658715
52, 662859
53, 641865
54, 640573
55, 644468
56, 668614
57, 679285
58, 716855
59, 707376
60, 674028
61, 714822
62, 735027
63, 766108
64, 741220
65, 848196
66, 979021
67, 905421
68, 904792
69, 903367
70, 928804
71, 900565
72, 916230
73, 945815
74, 922873
75, 693824
76, 704129
77, 697238
78, 728697
79, 648340
80, 698695
81, 659257
82, 696411
83, 687016
84, 661883
85, 655649
86, 669296
87, 682558
88, 700405
89, 674389
